contractSymbol,predicted_call_price
AAPL231215C00090000,105.66100825485438
AAPL231215C00095000,100.66332552593313
AAPL231215C00100000,95.66564279701177
AAPL231215C00105000,90.66796006809045
AAPL231215C00110000,85.67027733916916
AAPL231215C00115000,80.67259461024786
AAPL231215C00120000,75.67491188132655
AAPL231215C00125000,70.67722915240525
AAPL231215C00130000,65.6795464234839
AAPL231215C00135000,60.681863694562594
AAPL231215C00140000,55.68418096564129
AAPL231215C00145000,50.68649823671996
AAPL231215C00150000,45.688815507798644
AAPL231215C00155000,40.69113277887734
AAPL231215C00157500,38.19229141441669
AAPL231215C00160000,35.693450049956034
AAPL231215C00162500,33.19460868549538
AAPL231215C00165000,30.695767321034726
AAPL231215C00167500,28.196925956574056
AAPL231215C00170000,25.698084592113393
AAPL231215C00172500,23.199243227652747
AAPL231215C00175000,20.700401863192095
AAPL231215C00177500,18.20156049873143
AAPL231215C00180000,15.702719134270774
AAPL231215C00182500,13.203877769810122
AAPL231215C00185000,10.705036405349464
AAPL231215C00187500,8.206195040888801
AAPL231215C00190000,5.707353676428148
AAPL231215C00192500,3.208512311967491
AAPL231215C00195000,0.7096709475068345
AAPL231215C00197500,0.0
AAPL231215C00200000,0.0
AAPL231215C00202500,0.0
AAPL231215C00205000,0.0
AAPL231215C00207500,0.0
AAPL231215C00210000,0.0
AAPL231215C00212500,0.0
AAPL231215C00215000,0.0
AAPL231215C00217500,0.0
AAPL231215C00220000,0.0
AAPL231215C00225000,0.0
AAPL231215C00230000,0.0
AAPL231215C00235000,0.0
AAPL231215C00240000,0.0
AAPL231215C00245000,0.0
AAPL231215C00250000,0.0
AAPL231215C00255000,0.0
AAPL231215C00260000,0.0
AAPL231215C00265000,0.0
AAPL231215C00270000,0.0
AAPL231215C00275000,0.0
AAPL231215C00280000,0.0
AAPL231215C00285000,0.0
AAPL231215C00290000,0.0
AAPL231215C00295000,0.0
AAPL231222C00060000,135.5371078600067
AAPL231222C00075000,120.5562175947344
AAPL231222C00080000,115.56258750631032
